is_wasm,time,width,height,timestamp
false,5.099999904632568,90,50,2023-04-30T19:40:03.401Z
false,5.1000001430511475,90,50,2023-04-30T19:40:04.229Z
false,3.299999952316284,90,50,2023-04-30T19:40:04.721Z
false,1.2000000476837158,90,50,2023-04-30T19:40:05.173Z
false,1.9000000953674316,90,50,2023-04-30T19:40:05.619Z
false,0.8999998569488525,90,50,2023-04-30T19:40:06.020Z
false,1.5,90,50,2023-04-30T19:40:06.538Z
false,1,90,50,2023-04-30T19:40:07.006Z
false,0.8999998569488525,90,50,2023-04-30T19:40:07.488Z
false,1,90,50,2023-04-30T19:40:07.945Z
false,1.4000000953674316,90,50,2023-04-30T19:40:08.350Z
false,4.300000190734863,90,50,2023-04-30T19:40:11.688Z
false,5.5,90,50,2023-04-30T19:40:12.312Z
false,3.6999998092651367,90,50,2023-04-30T19:40:13.008Z
false,6.700000047683716,90,50,2023-04-30T19:40:13.754Z
false,2.9000000953674316,90,50,2023-04-30T19:40:14.399Z
false,2.5,90,50,2023-04-30T19:40:15.092Z
false,1.2000000476837158,90,50,2023-04-30T19:40:15.805Z
false,2,90,50,2023-04-30T19:40:16.534Z
false,1.1000001430511475,90,50,2023-04-30T19:40:17.270Z
false,1.2000000476837158,90,50,2023-04-30T19:40:17.923Z
false,2.200000047683716,90,50,2023-04-30T19:40:18.711Z
false,6.6000001430511475,90,50,2023-04-30T19:40:22.260Z
false,4.799999952316284,90,50,2023-04-30T19:40:23.121Z
false,2.4000000953674316,90,50,2023-04-30T19:40:23.949Z
false,1.5999999046325684,90,50,2023-04-30T19:40:24.712Z
false,6.3999998569488525,90,50,2023-04-30T19:40:25.689Z
false,1.6000001430511475,90,50,2023-04-30T19:40:26.438Z
false,2,90,50,2023-04-30T19:40:27.203Z
false,0.9000000953674316,90,50,2023-04-30T19:40:27.994Z
false,1.1999998092651367,90,50,2023-04-30T19:40:28.785Z
false,1.6000001430511475,90,50,2023-04-30T19:40:29.626Z
false,3,90,50,2023-04-30T19:40:30.444Z
false,16.5,90,50,2023-04-30T19:40:34.250Z
false,3,90,50,2023-04-30T19:40:35.161Z
false,3.6999998092651367,90,50,2023-04-30T19:40:36.100Z
false,1.7000000476837158,90,50,2023-04-30T19:40:36.958Z
false,3,90,50,2023-04-30T19:40:37.839Z
false,2.0999999046325684,90,50,2023-04-30T19:40:38.722Z
false,1,90,50,2023-04-30T19:40:39.518Z
false,1.2000000476837158,90,50,2023-04-30T19:40:40.378Z
false,2.3000001907348633,90,50,2023-04-30T19:40:41.314Z
false,2.200000047683716,90,50,2023-04-30T19:40:42.299Z
false,2,90,50,2023-04-30T19:40:43.244Z
false,14.600000143051147,90,50,2023-04-30T19:40:47.438Z
